Report_ID,Date,Location,Work_Area,Report_Type,Narrative,Potential_Exposure,SIF_Precursor,SIF_Risk,Immediate_Action,Potential_Severity,NLP_Label
OIL-SIF-0016,2026-02-22,Duliajan,Production,Unsafe Act,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0017,2026-02-25,Bongaigaon,Maintenance,Unsafe Condition,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0018,2026-02-28,Digboi,Electrical,Near Miss,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0019,2026-03-03,Duliajan,Drilling,Unsafe Act,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0020,2026-03-06,Bongaigaon,Pipeline,Unsafe Condition,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0021,2026-03-09,Digboi,Process Plant,Near Miss,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0022,2026-03-12,Duliajan,Workover,Unsafe Act,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0023,2026-03-15,Bongaigaon,Warehouse,Unsafe Condition,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0024,2026-03-18,Digboi,Production,Near Miss,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0025,2026-03-21,Duliajan,Maintenance,Unsafe Act,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0026,2026-03-24,Bongaigaon,Electrical,Unsafe Condition,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0027,2026-03-27,Digboi,Drilling,Near Miss,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0028,2026-03-30,Duliajan,Pipeline,Unsafe Act,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0029,2026-04-02,Bongaigaon,Process Plant,Unsafe Condition,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0030,2026-04-05,Digboi,Workover,Near Miss,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0031,2026-04-08,Duliajan,Warehouse,Unsafe Act,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0032,2026-04-11,Bongaigaon,Production,Unsafe Condition,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0033,2026-04-14,Digboi,Maintenance,Near Miss,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0034,2026-04-17,Duliajan,Electrical,Unsafe Act,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0035,2026-04-20,Bongaigaon,Drilling,Unsafe Condition,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0036,2026-04-23,Digboi,Pipeline,Near Miss,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0037,2026-04-26,Duliajan,Process Plant,Unsafe Act,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0038,2026-04-29,Bongaigaon,Workover,Unsafe Condition,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0039,2026-05-02,Digboi,Warehouse,Near Miss,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0040,2026-05-05,Duliajan,Production,Unsafe Act,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0041,2026-05-08,Bongaigaon,Maintenance,Unsafe Condition,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0042,2026-05-11,Digboi,Electrical,Near Miss,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0043,2026-05-14,Duliajan,Drilling,Unsafe Act,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0044,2026-05-17,Bongaigaon,Pipeline,Unsafe Condition,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0045,2026-05-20,Digboi,Process Plant,Near Miss,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0046,2026-05-23,Duliajan,Workover,Unsafe Act,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0047,2026-05-26,Bongaigaon,Warehouse,Unsafe Condition,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0048,2026-05-29,Digboi,Production,Near Miss,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0049,2026-06-01,Duliajan,Maintenance,Unsafe Act,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0050,2026-06-04,Bongaigaon,Electrical,Unsafe Condition,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0051,2026-06-07,Digboi,Drilling,Near Miss,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0052,2026-06-10,Duliajan,Pipeline,Unsafe Act,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0053,2026-06-13,Bongaigaon,Process Plant,Unsafe Condition,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0054,2026-06-16,Digboi,Workover,Near Miss,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0055,2026-06-19,Duliajan,Warehouse,Unsafe Act,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0056,2026-06-22,Bongaigaon,Production,Unsafe Condition,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0057,2026-06-25,Digboi,Maintenance,Near Miss,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0058,2026-06-28,Duliajan,Electrical,Unsafe Act,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0059,2026-07-01,Bongaigaon,Drilling,Unsafe Condition,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0060,2026-07-04,Digboi,Pipeline,Near Miss,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0061,2026-07-07,Duliajan,Process Plant,Unsafe Act,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0062,2026-07-10,Bongaigaon,Workover,Unsafe Condition,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0063,2026-07-13,Digboi,Warehouse,Near Miss,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0064,2026-07-16,Duliajan,Production,Unsafe Act,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0065,2026-07-19,Bongaigaon,Maintenance,Unsafe Condition,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0066,2026-07-22,Digboi,Electrical,Near Miss,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0067,2026-07-25,Duliajan,Drilling,Unsafe Act,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0068,2026-07-28,Bongaigaon,Pipeline,Unsafe Condition,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0069,2026-07-31,Digboi,Process Plant,Near Miss,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0070,2026-01-05,Duliajan,Workover,Unsafe Act,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0071,2026-01-08,Bongaigaon,Warehouse,Unsafe Condition,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0072,2026-01-11,Digboi,Production,Near Miss,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0073,2026-01-14,Duliajan,Maintenance,Unsafe Act,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0074,2026-01-17,Bongaigaon,Electrical,Unsafe Condition,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0075,2026-01-20,Digboi,Drilling,Near Miss,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0076,2026-01-23,Duliajan,Pipeline,Unsafe Act,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0077,2026-01-26,Bongaigaon,Process Plant,Unsafe Condition,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0078,2026-01-29,Digboi,Workover,Near Miss,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0079,2026-02-01,Duliajan,Warehouse,Unsafe Act,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0080,2026-02-04,Bongaigaon,Production,Unsafe Condition,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0081,2026-02-07,Digboi,Maintenance,Near Miss,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0082,2026-02-10,Duliajan,Electrical,Unsafe Act,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0083,2026-02-13,Bongaigaon,Drilling,Unsafe Condition,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0084,2026-02-16,Digboi,Pipeline,Near Miss,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0085,2026-02-19,Duliajan,Process Plant,Unsafe Act,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0086,2026-02-22,Bongaigaon,Workover,Unsafe Condition,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0087,2026-02-25,Digboi,Warehouse,Near Miss,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0088,2026-02-28,Duliajan,Production,Unsafe Act,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0089,2026-03-03,Bongaigaon,Maintenance,Unsafe Condition,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0090,2026-03-06,Digboi,Electrical,Near Miss,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0091,2026-03-09,Duliajan,Drilling,Unsafe Act,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
